EAN,Color,PurchasePriceExclVAT,RecommendedPriceInclVAT,BrandName,Sell Price,Color,Offer ID
5712195080297,Not Sure,"79,97","229,95",No Product Found,,Not Sure,No Offer ID
5712195079789,Not Sure,"184,58","479,95",No Product Found,,Not Sure,No Offer ID
5712195079741,Not Sure,"184,58","479,95",No Product Found,,Not Sure,No Offer ID
5712195079703,Not Sure,"184,58","479,95",No Product Found,,Not Sure,No Offer ID
5712195079642,Not Sure,"215,35","559,95",No Product Found,,Not Sure,No Offer ID
5712195075620,Not Sure,"110,74","299,95",No Product Found,,Not Sure,No Offer ID
5712195075606,Not Sure,"110,74","299,95",No Product Found,,Not Sure,No Offer ID
5712195082550,Multi,"227,66","599,95",Nordic Nest,599,Multi,3d23c3cabc17e434fb1301539337109d
5712195082536,Not Sure,"227,66","599,95",No Product Found,,Not Sure,No Offer ID
5712195081911,Not Sure,"141,51","379,95",No Product Found,,Not Sure,No Offer ID
5712195081850,Not Sure,"141,51","379,95",No Product Found,,Not Sure,No Offer ID
5712195081010,Not Sure,"492,28","1299,95",No Product Found,,Not Sure,No Offer ID
5712195080990,Not Sure,"461,51","1199,95",No Product Found,,Not Sure,No Offer ID
5712195082512,Blue,"233,82","629,95",Nordic Nest,629,Blue,8914d36ef18adda673fa0739916fa724
5712195082512,Blue,"233,82","629,95",Kitchentime,629,Blue,bb36be498f93ab008b7278d9235c13cd
5712195082512,Blue,"233,82","629,95",Bagaren och Kocken,629.95,Blue,ff644c9fb76a111a4d0ceeb7f55b3d7b
5712195082475,Not Sure,"153,82","399,95",No Product Found,,Not Sure,No Offer ID
5712195082437,Not Sure,"153,82","399,95",No Product Found,,Not Sure,No Offer ID
5712195082390,Not Sure,"184,58","479,95",No Product Found,,Not Sure,No Offer ID
5712195082376,Not Sure,"246,12","649,95",No Product Found,,Not Sure,No Offer ID
5712195082338,Not Sure,"289,20","759,95",No Product Found,,Not Sure,No Offer ID
5712195082291,Not Sure,"1137,09","2599,95",No Product Found,,Not Sure,No Offer ID
5712195082253,Not Sure,"1137,09","2599,95",No Product Found,,Not Sure,No Offer ID
5712195082215,Not Sure,"1137,09","2599,95",No Product Found,,Not Sure,No Offer ID
5712195082192,Not Sure,"1538,43","3499,95",No Product Found,,Not Sure,No Offer ID
5712195082079,Not Sure,"184,58","479,95",No Product Found,,Not Sure,No Offer ID
5712195079086,Not Sure,"86,12","249,95",No Product Found,,Not Sure,No Offer ID
5712195074708,Not Sure,"61,51","159,95",No Product Found,,Not Sure,No Offer ID
5712195074661,Not Sure,"61,51","159,95",No Product Found,,Not Sure,No Offer ID
5712195073145,Not Sure,"92,28","249,95",No Product Found,,Not Sure,No Offer ID
5712195072261,Not Sure,"92,28","249,95",No Product Found,,Not Sure,No Offer ID
5712195084356,Not Sure,"79,97","229,95",No Product Found,,Not Sure,No Offer ID
5712195083816,Not Sure,"246,12","649,95",No Product Found,,Not Sure,No Offer ID
5712195083236,Not Sure,"184,58","479,95",No Product Found,,Not Sure,No Offer ID
5712195083212,Not Sure,"215,35","559,95",No Product Found,,Not Sure,No Offer ID
5712195082918,Caramel,"86,12","249,95",Nordic Nest,212,Caramel,a7e56784a28551d00a43b2fa7f6b31d5
5712195082918,Caramel,"86,12","249,95",Kids-World,215.95,Caramel,6cc154d55b5af9a03690e59706b2daa4
5712195082918,Caramel,"86,12","249,95",Kitchentime,249.95,Caramel,79221cc6b3466a184cd6f284feb395f8
5712195082871,Not Sure,"86,12","249,95",No Product Found,,Not Sure,No Offer ID
5712195082833,Dusty Blue,"73,82","199,95",Nordic Nest,199,Dusty Blue,15d0008c1aa1e961fb2d999d49fd64c6
5712195082833,Dusty Blue,"73,82","199,95",Kitchentime,199.95,Dusty Blue,563902f414e20abb63a6d9a6ffcb8c13
5712195075323,Not Sure,"338,43","899,95",No Product Found,,Not Sure,No Offer ID
5712195080976,Not Sure,"538,46","1499,95",No Product Found,,Not Sure,No Offer ID
5712195080952,Not Sure,"936,42","2199,95",No Product Found,,Not Sure,No Offer ID
5712195080938,Not Sure,"603,08","1599,95",No Product Found,,Not Sure,No Offer ID
5712195080914,Not Sure,"869,53","1999,95",No Product Found,,Not Sure,No Offer ID
5712195080891,Not Sure,"936,42","2199,95",No Product Found,,Not Sure,No Offer ID
5712195080877,Not Sure,"869,53","1999,95",No Product Found,,Not Sure,No Offer ID
5712195080839,Not Sure,"869,53","1999,95",No Product Found,,Not Sure,No Offer ID
5712195080792,Not Sure,"43,05","119,95",No Product Found,,Not Sure,No Offer ID
5712195080730,Not Sure,"43,05","119,95",No Product Found,,Not Sure,No Offer ID
5712195080228,Not Sure,"276,89","749,95",No Product Found,,Not Sure,No Offer ID
5712195082031,Olive,"184,58","479,95",Nordic Nest,375,Olive,8280b5d37726b53af7189595e0439811
5712195082031,Olive,"184,58","479,95",Kids-World,461.95,Olive,0198bddec078f0236c2565ce8b8a87c7
5712195082031,Olive,"184,58","479,95",Kitchentime,479.95,Olive,6ab49492847df3f19da5c7c0171848cb
5712195081997,Not Sure,"184,58","479,95",No Product Found,,Not Sure,No Offer ID
5712195081195,Not Sure,"92,28","249,95",No Product Found,,Not Sure,No Offer ID
5712195081157,Brushed Steel,"123,05","329,95",Nordic Nest,247,Brushed Steel,54d8f47d254d9d079b7db844baa4695e
5712195081157,Brushed Steel,"123,05","329,95",Kitchentime,330,Brushed Steel,b70662297a40ef49aa21c2a60431b5cd
5712195081133,Not Sure,"123,05","329,95",No Product Found,,Not Sure,No Offer ID
5712195081119,Not Sure,"123,05","329,95",No Product Found,,Not Sure,No Offer ID
5712195081096,Choko,"246,12","649,95",Nordic Nest,649,Choko,6b73608a829065572ed8659bb9e48811
5712195081096,Choko,"246,12","649,95",Kitchentime,649.95,Choko,78830209186ab34f3c54e6a6cd9437db
5712195083793,Not Sure,"184,58","479,95",No Product Found,,Not Sure,No Offer ID
5712195083779,Not Sure,"184,58","479,95",No Product Found,,Not Sure,No Offer ID
5712195083755,Not Sure,"215,35","559,95",No Product Found,,Not Sure,No Offer ID
5712195083717,Not Sure,"215,35","559,95",No Product Found,,Not Sure,No Offer ID
5712195083694,Not Sure,"233,82","629,95",No Product Found,,Not Sure,No Offer ID
5712195083656,Not Sure,"233,82","629,95",No Product Found,,Not Sure,No Offer ID
5712195083632,Not Sure,"141,51","379,95",No Product Found,,Not Sure,No Offer ID
5712195083595,Not Sure,"141,51","379,95",No Product Found,,Not Sure,No Offer ID
5712195083571,Offwhite,"492,28","1299,95",Lampemesteren,965,Offwhite,cd94e50f47a459f8d19aade34b35ccd6
5712195083571,Offwhite,"492,28","1299,95",Bagaren och Kocken,1299.95,Offwhite,eee823c0a72f3e525d07fea0df6f4846
5712195084257,Not Sure,"492,28","1299,95",No Product Found,,Not Sure,No Offer ID
5712195084233,Not Sure,"123,05","329,95",No Product Found,,Not Sure,No Offer ID
5712195083953,Not Sure,"492,28","1299,95",No Product Found,,Not Sure,No Offer ID
5712195083915,Green,"430,74","1099,95",Nordic Nest,847,Green,1cc25ca797d4bc27b0786d0f6cccdf8d
5712195083915,Green,"430,74","1099,95",Kitchentime,1099.95,Green,a50bc163a52a6ff89efc117dc5ccfba8
5712195083892,Cherry Red,"430,74","1099,95",Nordic Nest,747,Cherry Red,a28f6e90e2323dc9afef1d1e7a9405d9
5712195083892,Cherry Red,"430,74","1099,95",Kitchentime,1099.95,Cherry Red,43847a2e95c353173152dfdcb036edcc
5712195083878,Not Sure,"86,12","249,95",No Product Found,,Not Sure,No Offer ID
5712195083854,Not Sure,"86,12","249,95",No Product Found,,Not Sure,No Offer ID
5712195083830,Not Sure,"86,12","249,95",No Product Found,,Not Sure,No Offer ID
5712195083205,Not Sure,"92,28","249,95",No Product Found,,Not Sure,No Offer ID
5712195083168,Not Sure,"92,28","249,95",No Product Found,,Not Sure,No Offer ID
5712195081959,Not Sure,"61,51","159,95",No Product Found,,Not Sure,No Offer ID
5712195075309,Not Sure,"215,35","559,95",No Product Found,,Not Sure,No Offer ID
5712195079963,Not Sure,"307,66","799,95",No Product Found,,Not Sure,No Offer ID
5712195081379,Not Sure,"246,12","649,95",No Product Found,,Not Sure,No Offer ID
5712195081331,Not Sure,"307,66","799,95",No Product Found,,Not Sure,No Offer ID
5712195081294,Not Sure,"246,12","649,95",No Product Found,,Not Sure,No Offer ID
5712195081256,Not Sure,"307,66","799,95",No Product Found,,Not Sure,No Offer ID
5712195076542,Not Sure,"369,20","979,95",No Product Found,,Not Sure,No Offer ID
5712195076320,Not Sure,"861,51","2299,95",No Product Found,,Not Sure,No Offer ID
5712195076306,Not Sure,"861,51","2299,95",No Product Found,,Not Sure,No Offer ID
5712195076283,Not Sure,"246,12","649,95",No Product Found,,Not Sure,No Offer ID
5712195076801,Not Sure,"735,75","1699,95",No Product Found,,Not Sure,No Offer ID
5712195079567,Not Sure,"91,69","249,95",No Product Found,,Not Sure,No Offer ID
5712195078829,Not Sure,"135,35","359,95",No Product Found,,Not Sure,No Offer ID
5712195078805,Not Sure,"110,74","299,95",No Product Found,,Not Sure,No Offer ID
5712195078768,Not Sure,"110,74","299,95",No Product Found,,Not Sure,No Offer ID
5712195078744,Not Sure,"24,58","69,95",No Product Found,,Not Sure,No Offer ID
5712195078706,Ice Blue,"24,58","69,95",Nordic Nest,44,Ice Blue,f17fa3c991aca89a442106575f2ba97c
5712195078706,Ice Blue,"24,58","69,95",Kitchentime,44,Ice Blue,9cd202d8fbd494d08c3e912e969cf983
5712195078669,Not Sure,"24,58","69,95",No Product Found,,Not Sure,No Offer ID
5712195076269,Not Sure,"246,12","649,95",No Product Found,,Not Sure,No Offer ID
5712195076122,Not Sure,"141,51","379,95",No Product Found,,Not Sure,No Offer ID
5712195076061,Not Sure,"110,74","299,95",No Product Found,,Not Sure,No Offer ID
5712195075682,Not Sure,"215,35","549,95",No Product Found,,Not Sure,No Offer ID
5712195075668,Beige,"123,05","329,95",Nordic Nest,209,Beige,82480b15417f8fc0f61ad87ca9704b78
5712195075668,Beige,"123,05","329,95",Kids-World,307.95,Beige,d7c9b7f98e06873e27dc9ff7d225c252
5712195075644,Clay,"123,05","329,95",Nordic Nest,209,Clay,4c89a930b843a068c2dd1df1eba6e86b
5712195075644,Clay,"123,05","329,95",Jollyroom,329,Clay,6e36c709e9ac379425b9c439b00e6ec4
