EAN,Brand Color,PurchasePriceExclVAT,RecommendedPriceInclVAT
5710555 10016 6,sand/rose,34.0,84.8
5710555 10017 3,sand/rose,64.0,160.0
5710555 10018 0,sand/rose,86.0,214.8
5710555 10055 5,light/dusty/dark green,14.5,36.3
5710555 10043 2,light/dusty/dark green,23.1,57.8
5710555 10019 7,light/dusty/dark green,34.0,84.8
5710555 10020 3,light/dusty/dark green,64.0,160.0
5710555 10021 0,light/dusty/dark green,86.0,214.8
5710555 10056 2,light/dusty blue/steelgrey,14.5,36.3
5710555 10044 9,light/dusty blue/steelgrey,23.1,57.8
5710555 10022 7,light/dusty blue/steelgrey,34.0,84.8
5710555 10023 4,light/dusty blue/steelgrey,64.0,160.0
5710555 10024 1,light/dusty blue/steelgrey,86.0,214.8
5710555 00750 2,Ivory/Dijon/brown,14.5,36.3
5710555 00751 9,Ivory/Dijon/brown,23.1,57.8
5710555 00752 6,Ivory/Dijon/brown,34.0,84.8
5710555 00753 3,Ivory/Dijon/brown,64.0,160.0
5710555 00754 0,Ivory/Dijon/brown,86.0,214.8
5710555 10070 8,"cognac /dark brown, black",14.5,36.3
5710555 10071 5,"cognac /dark brown, black",23.1,57.8
5710555 10072 2,"cognac /dark brown, black",34.0,84.8
5710555 10073 9,"cognac /dark brown, black",64.0,160.0
5710555 10074 6,"cognac /dark brown, black",86.0,214.8
5710555 10057 9,light grey/steelgrey,14.5,36.3
5710555 10045 6,light grey/steelgrey,23.1,57.8
5710555 10025 8,light grey/steelgrey,34.0,84.8
5710555 10026 5,light grey/steelgrey,64.0,160.0
5710555 10027 2,light grey/steelgrey,86.0,214.8
5710555 10058 6,light/dusty green,14.5,36.3
5710555 10046 3,light/dusty green,23.1,57.8
5710555 10028 9,light/dusty green,34.0,84.8
5710555 10029 6,light/dusty green,64.0,160.0
5710555 10030 2,light/dusty green,86.0,214.8
5710555 10059 3,sand/rose,14.5,36.3
5710555 10047 0,sand/rose,23.1,57.8
5710555 10031 9,sand/rose,34.0,84.8
5710555 10032 6,sand/rose,64.0,160.0
5710555 10033 3,sand/rose,86.0,214.8
5710555 10060 9,sand/brown,14.5,36.3
5710555 10048 7,sand/brown,23.1,57.8
5710555 10034 0,sand/brown,34.0,84.8
5710555 10035 7,sand/brown,64.0,160.0
5710555 10036 4,sand/brown,86.0,214.8
5710555 00522 5,matte white,200.0,500.0
5710555 00523 2,matte grey/taupe,200.0,500.0
5710555 00524 9,matte black,200.0,500.0
5710555 00526 3,matt grey NEW,200.0,500.0
5710555 00527 0,dark green NEW,200.0,500.0
5710555 00519 5,black,10.0,25.0
5710555 00525 6,black,27.0,69.0
5710555 00591 1,matte white,108.0,270.0
5710555 00592 8,matte grey/taupe,108.0,270.0
5710555 00593 5,matte black,108.0,270.0
5710555 00594 2,matte white,244.0,610.0
5710555 00595 9,matte grey/taupe,244.0,610.0
5710555 00596 6,matte black,244.0,610.0
5710555 00529 4,steelgrey NEW,244.0,610.0
5710555 00597 3,matte white,188.0,470.0
5710555 00598 0,matte grey/taupe,188.0,470.0
5710555 00599 7,matte black,188.0,470.0
5710555 00528 7,steelgrey NEW,188.0,470.0
