Color Name,Composition in %,Brand,Height in cm (PRODUCT),Length in cm  (PRODUCT),Width/Dia in cm  (PRODUCT),Weight in gram without packing  (PRODUCT),Country of Origin,Oeko-tex (Y/N),GOTS (Y/N),Gsm/m2,Made of recycled material (Y/N),FSC (Y/N),Origin Of Material (Specially by Wood),How many ML can the item contain?,Sustainability in Terms of Material (Y/N),Multipack (Y/N),Age Recommendation,Fragile (Y/N),Outdoor Use (Y/N),Handmade (Y/N),Care instructions,Maximum Load in KG,Waterproof (Y/N),Frostsafe (Y/N),Suitable for dishwasher (Y/N),Suitable for oven (Y/N),Suitable for microwave (Y/N),Suitable for wetrooms (Y/N),Kelvin,Lumen,Lifetime (LED),Max watt,Length of cord,Rechargable,Dimmerable,LED,Shelf life unopend in months,Shelf life opend in months,Perfume (Y/N),Perfume in %,Type of perfume (Natural / Synthetic),Declarational perfumes,PH value,VOC in %,BSE Free,List the preservatives used in the product,Contains palm oil (Y/N),Palm oil in %,Contains RSPO Certified palm oil (Y/N),Cold sensitive (Y/N),Cold sensitive minimum °C,Heat sensitive (Y/N),Heat sensitive maximum °C,Burning time in hours
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nature,100% Bamboo,OYOY LIVING,26,26,26,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stone,100% Terracotta,OYOY LIVING,"1,9",22,22,250,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stone,100% Terracotta,OYOY LIVING,"1,9",27,27,250,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown,100% Terracotta,OYOY LIVING,"7,5",11,8,500,China,,,,,,,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stone,100% Terracotta,OYOY LIVING,4,19,19,250,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caramel,100% Stoneware,OYOY LIVING,31,"8,5","8,5",800,Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olive,100% Silicone,OYOY LIVING,1,15,15,240,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caramel,100% Silicone,OYOY LIVING,1,15,15,240,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black,100% Silicone,OYOY LIVING,1,15,15,240,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue,"100% Cotton, 100% Recycled Polyester Filling",OYOY MINI,5,30,30,370,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offwhite,100% Porcelain,OYOY LIVING,14,"7,5","7,5",340,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caramel,100% Porcelain,OYOY LIVING,14,"7,5","7,5",340,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caramel,100% Porcelain,OYOY LIVING,10,"7,5","7,5",270,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caramel,100% Porcelain,OYOY LIVING,7,18,18,450,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black,"100% Stainless Steel, Powder Coated/Brass Plated",OYOY LIVING,20,42,42,300,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rose,100% Silicone,OYOY LIVING,2,40,36,600,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rose,100% Polyester,OYOY MINI,43,23,23,400,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caramel,100% Cotton,OYOY ZOO,7,22,7,350,China,No,No,,No,No,China,,No,No,,No,No,No,,,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,
Mellow,100% Cotton,OYOY ZOO,7,22,7,350,China,No,No,,No,No,China,,No,No,,No,No,No,,,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,
Choko,100% Cotton,OYOY ZOO,7,22,7,350,China,No,No,,No,No,China,,No,No,,No,No,No,,,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,
Caramel,"Nylon, Leather",OYOY ZOO,"0,8",64,"0,8",100,China,No,No,,No,No,China,,No,No,,No,No,No,,,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,
Caramel,"Nylon, Leather",OYOY ZOO,"0,8",57,"0,8",100,China,No,No,,No,No,China,,No,No,,No,No,No,,,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,
Caramel,"Nylon, Leather",OYOY ZOO,"0,8",46,"0,8",100,China,No,No,,No,No,China,,No,No,,No,No,No,,,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,
Caramel,"Nylon, Leather",OYOY ZOO,35,"0,8","0,8",250,China,No,No,,No,No,China,,No,No,,No,No,No,,,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,
Choko,"Nylon, Leather",OYOY ZOO,"0,8",64,"0,8",100,China,No,No,,No,No,China,,No,No,,No,No,No,,,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,
Choko,"Nylon, Leather",OYOY ZOO,"0,8",57,"0,8",100,China,No,No,,No,No,China,,No,No,,No,No,No,,,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,
Choko,"Nylon, Leather",OYOY ZOO,"0,8",46,"0,8",100,China,No,No,,No,No,China,,No,No,,No,No,No,,,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,
Choko,"Nylon, Leather",OYOY ZOO,35,"0,8","0,8",250,China,No,No,,No,No,China,,No,No,,No,No,No,,,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,
Mellow,"Nylon, Leather",OYOY ZOO,"0,8",64,"0,8",100,China,No,No,,No,No,China,,No,No,,No,No,No,,,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,
Mellow,"Nylon, Leather",OYOY ZOO,"0,8",57,"0,8",100,China,No,No,,No,No,China,,No,No,,No,No,No,,,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,
Mellow,"Nylon, Leather",OYOY ZOO,"0,8",46,"0,8",100,China,No,No,,No,No,China,,No,No,,No,No,No,,,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,
Mellow,"Nylon, Leather",OYOY ZOO,35,"0,8","0,8",250,China,No,No,,No,No,China,,No,No,,No,No,No,,,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,
Caramel,"Nylon, Leather",OYOY ZOO,"0,8",160,"0,8",150,China,No,No,,No,No,China,,No,No,,No,No,No,,,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,
Mellow,"Nylon, Leather",OYOY ZOO,"0,8",160,"0,8",150,China,No,No,,No,No,China,,No,No,,No,No,No,,,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,
Choko,"Nylon, Leather",OYOY ZOO,"0,8",160,"0,8",150,China,No,No,,No,No,China,,No,No,,No,No,No,,,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,
Nature,100% Oak,OYOY LIVING,"2,2",120,"8,5",835,Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nature,100% Oak,OYOY LIVING,2,88,"8,5",550,Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nature,100% Oak,OYOY LIVING,82,37,10,2660,Serbia,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Optic,"Metal, Aluminium",OYOY LIVING,51,60,27,1000,Denmark,,,,,,,,,,,,,,,,,,,,,,Na,Na,Na,25W,2.5 m,Na,Na,Na,,,,,,,,,,,,,,,,,,
Offwhite,"Metal, Aluminium",OYOY LIVING,51,60,27,1000,Denmark,,,,,,,,,,,,,,,,,,,,,,Na,Na,Na,25W,2.5 m,Na,Na,Na,,,,,,,,,,,,,,,,,,
Black,"Metal, Aluminium",OYOY LIVING,51,60,27,1000,Denmark,,,,,,,,,,,,,,,,,,,,,,Na,Na,Na,25W,2.5 m,Na,Na,Na,,,,,,,,,,,,,,,,,,
Clay,"Metal, Aluminium",OYOY LIVING,51,60,27,1000,Denmark,,,,,,,,,,,,,,,,,,,,,,Na,Na,Na,25W,2.5 m,Na,Na,Na,,,,,,,,,,,,,,,,,,
White,100% Cotton,,,,,,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nature,100% Rattan,OYOY ZOO,30,69,55,2720,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nature,100% Rattan,OYOY ZOO,29,52,"37,5",1930,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nature,100% Rattan,OYOY ZOO,31,88,69,3200,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown,80% Wool - 20% Cotton,OYOY MINI,3,120,75,3700,India,,,,,,,,,,No specific minimum age,,,,Dirt must be cleaned with cloth with lukewarm water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green,80% Wool - 20% Cotton,OYOY MINI,3,120,75,3700,India,,,,,,,,,,No specific minimum age,,,,Dirt must be cleaned with cloth with lukewarm water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yellow,80% Wool - 20% Cotton,OYOY MINI,3,140,80,4380,India,,,,,,,,,,No specific minimum age,,,,Dirt must be cleaned with cloth with lukewarm water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multi,80% Wool - 20% Cotton,OYOY MINI,3,140,80,4380,India,,,,,,,,,,No specific minimum age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multi,100% Cardboard,OYOY MINI,"0,2",60,60,630,China,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nature,100% Beech,OYOY MINI,"4,5","5,4",6,400,China,,,,,,,,,,No specific minimum age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nature,100% Beech,OYOY MINI,"4,5",7,6,400,China,,,,,,,,,,No specific minimum age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nature,100% Beech,OYOY MINI,"5,4","7,4","6,4",400,China,,,,,,,,,,No specific minimum age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lavender,100% Recycled Polyester,OYOY ZOO,11,20,5,400,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caramel,100% Silicone,OYOY MINI,16,1,1,600,China,,,,,,,,,,0,,,,,,,Yes,Yes,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cherry,100% Silicone,OYOY MINI,16,1,1,600,China,,,,,,,,,,0,,,,,,,Yes,Yes,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,"Foam, 45D Memory Foam, Polyester",OYOY MINI,9,160,70,1500,Denmark,,,,,,,,,,No specific minimum age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cherry,100% Silicone,OYOY MINI,"24,5",8,8,130,China,,,,,,,,,,0,,,,Approved for dishwasher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caramel,100% Silicone,OYOY MINI,"24,5",8,8,130,China,,,,,,,,,,0,,,,Approved for dishwasher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue/Olive,100% Silicone,OYOY MINI,"4,4",18,18,380,China,No,No,,No,No,China,,No,Yes,0,No,Yes,No,,,Yes,Yes,Yes,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,
PaleMint/Choko,100% Silicone,OYOY MINI,"4,4",18,18,380,China,No,No,,No,No,China,,No,Yes,0,No,Yes,No,,,Yes,Yes,Yes,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,
Vanilla/CherryRed,100% Silicone,OYOY MINI,"4,4",18,18,380,China,No,No,,No,No,China,,No,Yes,0,No,Yes,No,,,Yes,Yes,Yes,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,
LightRubber/Lavender,100% Silicone,OYOY MINI,"4,4",18,18,380,China,No,No,,No,No,China,,No,Yes,0,No,Yes,No,,,Yes,Yes,Yes,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,100% Organic Cotton,OYOY MINI,2,100,100,400,Portugal,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offwhite,100% Organic Cotton,OYOY MINI,2,100,100,400,Portugal,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vanilla,100% Organic Cotton,OYOY MINI,"0,5",100,140,450,India,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vanilla,100% Organic Cotton,OYOY MINI,1,70,100,280,India,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beige,100% Organic Cotton,OYOY MINI,"0,5",100,140,450,India,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beige,100% Organic Cotton,OYOY MINI,"0,5",70,100,280,India,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Choko,100% Organic Cotton,OYOY MINI,1,100,140,450,India,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Choko,100% Organic Cotton,OYOY MINI,1,70,100,280,India,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dusty,100% Recycled Polyester,OYOY ZOO,"15,5",28,5,700,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caramel,100% Recycled Polyester,OYOY ZOO,"15,5",28,5,700,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cherry,100% Recycled Polyester,OYOY ZOO,"15,5",28,5,700,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lavender,100% Recycled Polyester,OYOY ZOO,"15,5",28,5,700,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dusty,100% Recycled Polyester,OYOY ZOO,11,20,5,400,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caramel,100% Recycled Polyester,OYOY ZOO,11,20,5,400,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cherry,100% Recycled Polyester,OYOY ZOO,11,20,5,400,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brass,"Metal, Iron",OYOY LIVING,50,35,35,2300,Denmark,,,,,,,,,,,,,,,,,,,,,,Na,Na,Na,25W,2.5 m,Na,Na,Na,,,,,,,,,,,,,,,,,,
Clay,100% Stoneware,OYOY LIVING,15,10,10,500,Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clay,100% Stoneware,OYOY LIVING,24,15,15,1200,Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown/Clay,"80% polyester, 20% Polyamid",OYOY LIVING,6,16,11,100,China,No,No,340,No,No,China,,No,Yes,,No,No,No,60 degrees,,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,
Clay/OpticBlue,"80% polyester, 20% Polyamid",OYOY LIVING,6,16,11,100,China,No,No,340,No,No,China,,No,Yes,,No,No,No,60 degrees,,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,
Dark,100% Terracotta,OYOY LIVING,"5,5",11,11,430,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rose,100% Terracotta,OYOY LIVING,"5,5",11,11,430,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offwhite,100% Terracotta,OYOY LIVING,4,19,19,870,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offwhite,100% Terracotta,OYOY LIVING,"1,9",22,22,820,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offwhite,100% Terracotta,OYOY LIVING,"1,9",27,27,1210,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offwhite,100% Organic Cotton,OYOY LIVING,1,150,100,800,Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offwhite,100% Organic Cotton,OYOY LIVING,1,140,70,530,Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offwhite,100% Organic Cotton,OYOY LIVING,1,100,50,270,Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offwhite,100% Organic Cotton,OYOY LIVING,1,60,40,130,Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offwhite,100% Organic Cotton,OYOY LIVING,1,30,30,100,Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amber,100% Glass,OYOY LIVING,23,14,14,1330,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Butter,100% Terracotta,OYOY LIVING,"5,5","8,2",6,200,China,,,,,,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Butter,100% Terracotta,OYOY LIVING,"7,5",11,8,500,China,,,,,,,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clay,100% Stoneware,OYOY LIVING,10,"12,6","12,6",400,Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clay,100% Stoneware,OYOY LIVING,13,15,15,800,Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clay,100% Stoneware,OYOY LIVING,9,20,20,800,Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clay,100% Stoneware,OYOY LIVING,9,27,27,1200,Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clay,100% Stoneware,OYOY LIVING,31,"8,5","8,5",800,Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beige,100% Organic Cotton,OYOY LIVING,1,150,100,800,Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beige,100% Organic Cotton,OYOY LIVING,1,140,70,530,Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beige,100% Organic Cotton,OYOY LIVING,1,100,50,270,Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beige,100% Organic Cotton,OYOY LIVING,1,60,40,130,Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beige,100% Organic Cotton,OYOY LIVING,30,1,30,100,Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green,100% Organic Cotton,OYOY LIVING,1,150,100,800,Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green,100% Organic Cotton,OYOY LIVING,1,140,70,530,Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green,100% Organic Cotton,OYOY LIVING,1,100,50,270,Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green,100% Organic Cotton,OYOY LIVING,1,60,40,130,Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green,100% Organic Cotton,OYOY LIVING,1,30,30,100,Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,100% Organic Cotton,OYOY LIVING,1,150,100,800,Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,100% Organic Cotton,OYOY LIVING,1,100,50,270,Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,100% Organic Cotton,OYOY LIVING,1,60,40,130,Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple,100% Organic Cotton,OYOY LIVING,1,30,30,100,Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dark,100% Terracotta,OYOY LIVING,4,19,19,870,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dark,100% Terracotta,OYOY LIVING,"1,9",22,22,820,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dark,100% Terracotta,OYOY LIVING,"1,9",27,27,1210,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offwhite,100% Terracotta,OYOY LIVING,"5,5","8,2",6,200,China,,,,,,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dark,100% Terracotta,OYOY LIVING,"5,5","8,2",6,200,China,,,,,,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stone,100% Terracotta,OYOY LIVING,"7,5",11,8,500,China,,,,,,,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offwhite,100% Terracotta,OYOY LIVING,"7,5",11,8,500,China,,,,,,,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dark,100% Terracotta,OYOY LIVING,"7,5",11,8,500,China,,,,,,,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brushed,100% Brass,OYOY LIVING,1,12,12,350,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caramel,Steel,OYOY LIVING,50,35,35,1200,China,No,No,,No,Yes (CartoNo),China,,Yes,No,,Yes,No,No,Clean with dry cloth,,IP20,No,No,No,No,No,Na,Na,Na,25W,2.5 m,Na,Na,Na,,,,,,,,,,,,,,,,,,
OpticBlue,Steel,OYOY LIVING,50,35,35,1200,China,No,No,,No,Yes (CartoNo),China,,Yes,No,,Yes,No,No,Clean with dry cloth,,IP20,No,No,No,No,No,Na,Na,Na,25W,2.5 m,Na,Na,Na,,,,,,,,,,,,,,,,,,
Browned,100% Aluminium,OYOY LIVING,41,30,30,2600,Denmark,,,,,,,,,,,,,,,,,,,,,,Na,Na,Na,25W,2.5 m,Na,Na,Na,,,,,,,,,,,,,,,,,,
Rose,"Metal, Plastic & Brass",OYOY LIVING,41,30,30,2600,Denmark,,,,,,,,,,,,,,,,,,,,,,Na,Na,Na,25W,2.5 m,Na,Na,Na,,,,,,,,,,,,,,,,,,
Clay,"Metal, Plastic & Brass",OYOY LIVING,41,30,30,2600,Denmark,,,,,,,,,,,,,,,,,,,,,,Na,Na,Na,25W,2.5 m,Na,Na,Na,,,,,,,,,,,,,,,,,,
Black,"Metal, Plastic & Brass",OYOY LIVING,41,30,30,2600,Denmark,,,,,,,,,,,,,,,,,,,,,,Na,Na,Na,25W,2.5 m,Na,Na,Na,,,,,,,,,,,,,,,,,,
Saffron,"Metal, Plastic & Brass",OYOY LIVING,41,30,30,2600,Denmark,,,,,,,,,,,,,,,,,,,,,,Na,Na,Na,25W,2.5 m,Na,Na,Na,,,,,,,,,,,,,,,,,,
White,"Metal, Plastic & Brass",OYOY LIVING,41,30,30,2600,Denmark,,,,,,,,,,,,,,,,,,,,,,Na,Na,Na,25W,2.5 m,Na,Na,Na,,,,,,,,,,,,,,,,,,
White,100% Glass,OYOY LIVING,"2,2","15,6","15,6",460,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rose,100% Glass,OYOY LIVING,"2,2","15,6","15,6",460,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amber,100% Glass,OYOY LIVING,"2,2","15,6","15,6",460,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offwhite,100% Stoneware,OYOY LIVING,"2,9",8,8,180,China,No,No,,Yes,No,China,,No,No,,Yes,No,No,,,Yes,No,Yes,No,No,No,,,,,,,,,,,,,,,,,,,No,,,,,,,
FlintBlue,100% Stoneware,OYOY LIVING,"2,9",8,8,180,China,No,No,,Yes,No,China,,No,No,,Yes,No,No,,,Yes,No,Yes,No,No,No,,,,,,,,,,,,,,,,,,,No,,,,,,,
Offwhite,100% Stoneware,OYOY LIVING,"5,6",9,9,390,China,No,No,,Yes,No,China,,No,No,,Yes,No,No,,,Yes,No,Yes,No,No,No,,,,,,,,,,,,,,,,,,,No,,,,,,,
Smoke,100% Glass,OYOY LIVING,23,14,14,1330,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FlintBlue,100% Stoneware,OYOY LIVING,"12,6",12,"15,6",620,China,No,No,,Yes,No,China,,No,No,,Yes,No,No,,,Yes,No,Yes,No,No,No,,,,,,,,,,,,,,,,,,,No,,,,,,,
Camel,100% Stoneware,OYOY LIVING,"12,6",12,"15,6",620,China,No,No,,Yes,No,China,,No,No,,Yes,No,No,,,Yes,No,Yes,No,No,No,,,,,,,,,,,,,,,,,,,No,,,,,,,
Offwhite,100% Stoneware,OYOY LIVING,"12,6",12,"15,6",620,China,No,No,,Yes,No,China,,No,No,,Yes,No,No,,,Yes,No,Yes,No,No,No,,,,,,,,,,,,,,,,,,,No,,,,,,,
Offwhite,100% Stoneware,OYOY LIVING,21,10,"13,6",820,China,No,No,,Yes,No,China,,No,No,,Yes,No,No,,,Yes,No,Yes,No,No,No,,,,,,,,,,,,,,,,,,,No,,,,,,,
Camel,100% Stoneware,OYOY LIVING,21,10,"13,6",820,China,No,No,,Yes,No,China,,No,No,,Yes,No,No,,,Yes,No,Yes,No,No,No,,,,,,,,,,,,,,,,,,,No,,,,,,,
