Color Name,Composition in %,Brand,Height in cm (PRODUCT),Length in cm  (PRODUCT),Width/Dia in cm  (PRODUCT),Weight in gram without packing  (PRODUCT),Country of Origin,Oeko-tex (Y/N),GOTS (Y/N),Gsm/m2,Made of recycled material (Y/N),FSC (Y/N),Origin Of Material (Specially by Wood),How many ML can the item contain?,Sustainability in Terms of Material (Y/N),Multipack (Y/N),Age Recommendation,Fragile (Y/N),Outdoor Use (Y/N),Handmade (Y/N),Care instructions,Maximum Load in KG,Waterproof (Y/N),Frostsafe (Y/N),Suitable for dishwasher (Y/N),Suitable for oven (Y/N),Suitable for microwave (Y/N),Suitable for wetrooms (Y/N),Kelvin,Lumen,Lifetime (LED),Max watt,Length of cord,Rechargable,Dimmerable,LED,Shelf life unopend in months,Shelf life opend in months,Perfume (Y/N),Perfume in %,Type of perfume (Natural / Synthetic),Declarational perfumes,PH value,VOC in %,BSE Free,List the preservatives used in the product,Contains palm oil (Y/N),Palm oil in %,Contains RSPO Certified palm oil (Y/N),Cold sensitive (Y/N),Cold sensitive minimum °C,Heat sensitive (Y/N),Heat sensitive maximum °C,Burning time in hours
Lavender,100% Organic Cotton,,"0,3",135,100,410,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clay,100% Organic Cotton,,"0,3",135,100,410,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clay,100% Paraffin,OYOY LIVING,34,"2,2","2,2",160,Denmark,Yes (Wick),No,,No,No,Denmark,,No,Yes,,Yes,No,Yes,Trim wick to 1/4 before use. Do not burn for more than 2 hours,,No,No,No,No,No,No,,,,,,,,,,,No,,,,,,Yes,,No,,,,,,,12
Lavender,100% Paraffin,OYOY LIVING,26,"5,5","5,5",550,China,No,No,,No,No,China,,No,No,,Yes,No,No,,,No,No,No,No,No,No,,,,,,,,,,,No,,,,,,Yes,,No,,,,,,,72
OpticBlue/LightRubber,100% Silicone,OYOY MINI,7,"10,6","6,5",200,China,No,No,,No,No,China,,No,No,0,No,No,No,,,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,
Vanilla/Nutmeg,100% Silicone,OYOY MINI,7,"10,6","6,5",220,China,No,No,,No,No,China,,No,No,0,No,No,No,,,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue,100% Silicone,OYOY MINI,"0,15",38,38,270,China,No,No,,No,No,China,,No,No,0,No,No,No,,,Yes,No,Yes,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,
Caramel,100% Silicone,OYOY MINI,"0,15",38,38,270,China,No,No,,No,No,China,,No,No,0,No,No,No,,,Yes,No,Yes,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,
Pale Blue,100% Silicone,OYOY MINI,"0,2",34,45,380,China,,,,,,,,,,,No,,,"No wash,Spot clean and wipe off with moist cloth",,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pale Green,100% Silicone,OYOY MINI,"0,2",34,45,370,China,,,,,,,,,,,No,,,"No wash,Spot clean and wipe off with moist cloth",,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
