Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Barcode,Variant Grams,Variant Inventory Tracker,Variant Inventory Quantity,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Status
615_GUNGDOT_4616,ALAC KOPPEL NYLON BLÅ 10MMx190CM,"Svensktillverkat koppel av blå nylon<br>Tillverkat i Sverige
10mm brett
190cm långt<br>",ALAC,Hund,Koppel,"ALAC, Hund, Koppel",True,Title,Default Title,615.GUNGDOT.4616,7393603140451,100,shopify,4,deny,manual,43.82,True,True,https://d27ahaa1qqlr90.cloudfront.net/fit-in/800x800/filters:fill(white):background_color(white):etag(dbc615135ce66d2f4631539c9b2b58a4):format(jpeg)/imazo/_mcpict/A615.4616.jpg,1,active
615_GUNGDOT_4618,ALAC KOPPEL NYLON VIT 10MMx190CM,"Svensktillverkat koppel av vit nylon<br>Tillverkat i Sverige
10mm brett
190cm långt<br>",ALAC,Hund,Koppel,"ALAC, Hund, Koppel",True,Title,Default Title,615.GUNGDOT.4618,7393603143865,100,shopify,8,deny,manual,43.82,True,True,https://d27ahaa1qqlr90.cloudfront.net/fit-in/800x800/filters:fill(white):background_color(white):etag(dbc615135ce66d2f4631539c9b2b58a4):format(jpeg)/imazo/_mcpict/A615.4618.jpg,1,active
615_GUNGDOT_4620,ALAC KOPPEL NYLON ROSA 10MMx190CM,"Svensktillverkat koppel av rosa nylon<br>Tillverkat i Sverige
10mm brett
190cm långt<br>",ALAC,Hund,Koppel,"ALAC, Hund, Koppel",True,Title,Default Title,615.GUNGDOT.4620,7393603140482,100,shopify,5,deny,manual,43.82,True,True,https://d27ahaa1qqlr90.cloudfront.net/fit-in/800x800/filters:fill(white):background_color(white):etag(dbc615135ce66d2f4631539c9b2b58a4):format(jpeg)/imazo/_mcpict/A615.4620.jpg,1,active
615_GUNGDOT_4622,ALAC KOPPEL NYLON LILA 10MMx190CM,"Svensktillverkat koppel av lila nylon<br>Tillverkat i Sverige
10mm brett
190cm långt<br>",ALAC,Hund,Koppel,"ALAC, Hund, Koppel",True,Title,Default Title,615.GUNGDOT.4622,7393603140499,100,shopify,2,deny,manual,43.82,True,True,https://d27ahaa1qqlr90.cloudfront.net/fit-in/800x800/filters:fill(white):background_color(white):etag(dbc615135ce66d2f4631539c9b2b58a4):format(jpeg)/imazo/_mcpict/A615.4622.jpg,1,active
615_GUNGDOT_4624,ALAC KOPPEL NYLON SILVER 10MMx190CM,"Svensktillverkat koppel av silver nylon<br>Tillverkat i Sverige
10mm brett
190cm långt<br>",ALAC,Hund,Koppel,"ALAC, Hund, Koppel",True,Title,Default Title,615.GUNGDOT.4624,7393603843406,100,shopify,20,deny,manual,29.74,True,True,https://d27ahaa1qqlr90.cloudfront.net/fit-in/800x800/filters:fill(white):background_color(white):etag(dbc615135ce66d2f4631539c9b2b58a4):format(jpeg)/imazo/_mcpict/A615.4624.jpg,1,active
615_GUNGDOT_4800,ALAC KOPPEL KANAL OLIVGRÖN 18MMx190CM,<br><br>,ALAC,Hund,Koppel,"ALAC, Hund, Koppel",True,Title,Default Title,615.GUNGDOT.4800,,100,shopify,49,deny,manual,58.52,True,True,https://d27ahaa1qqlr90.cloudfront.net/fit-in/800x800/filters:fill(white):background_color(white):etag(dbc615135ce66d2f4631539c9b2b58a4):format(jpeg)/imazo/_mcpict/A615.4800.jpg,1,active
615_GUNGDOT_4806,ALAC KOPPEL KANAL SVART/GRÖN 18MMx190CM,"Svensktillverkat kanalkoppel<br>Tillverkat i Sverige
18mm brett
190cm långt<br>",ALAC,Hund,Koppel,"ALAC, Hund, Koppel",True,Title,Default Title,615.GUNGDOT.4806,7393603137239,100,shopify,13,deny,manual,58.49,True,True,https://d27ahaa1qqlr90.cloudfront.net/fit-in/800x800/filters:fill(white):background_color(white):etag(dbc615135ce66d2f4631539c9b2b58a4):format(jpeg)/imazo/_mcpict/A615.4806.jpg,1,active
615_GUNGDOT_4818,ALAC KOPPEL KANAL SVART/GUL 25MMx190CM,"Svensktillverkat kanalkoppel<br>Tillverkat i Sverige
25mm brett
190cm långt<br>",ALAC,Hund,Koppel,"ALAC, Hund, Koppel",True,Title,Default Title,615.GUNGDOT.4818,7393603137178,100,shopify,18,deny,manual,68.67,True,True,https://d27ahaa1qqlr90.cloudfront.net/fit-in/800x800/filters:fill(white):background_color(white):etag(dbc615135ce66d2f4631539c9b2b58a4):format(jpeg)/imazo/_mcpict/A615.4818.jpg,1,active
615_GUNGDOT_6126,ALAC SPÅRLINA BOMULL VIT 15M,"Svensktillverkad spårlina av vit bomull<br>Tillverkat i Sverige
15m lång<br>",ALAC,Hund,"Agility, Bruks","ALAC, Hund, Agility, Bruks",True,Title,Default Title,615.GUNGDOT.6126,7393603610268,100,shopify,6,deny,manual,117.04,True,True,https://d27ahaa1qqlr90.cloudfront.net/fit-in/800x800/filters:fill(white):background_color(white):etag(dbc615135ce66d2f4631539c9b2b58a4):format(jpeg)/imazo/_mcpict/A615.6126.jpg,1,active
615_GUNGDOT_6145,ALAC SPÅRLINA ANTIGLID RÖD 12MMx15M,"Svensktillverkad antiglidspårlina<br>Tillverkat i Sverige
12mm bred
15m lång<br>",ALAC,Hund,"Agility, Bruks","ALAC, Hund, Agility, Bruks",True,Title,Default Title,615.GUNGDOT.6145,7393603622421,100,shopify,21,deny,manual,257.32,True,True,https://d27ahaa1qqlr90.cloudfront.net/fit-in/800x800/filters:fill(white):background_color(white):etag(dbc615135ce66d2f4631539c9b2b58a4):format(jpeg)/imazo/_mcpict/A615.6145.jpg,1,active
615_GUNGDOT_6146,ALAC SPÅRLINA ANTIGLID NEONGRÖN 12MMx15M,"Svensktillverkad antiglidspårlina<br>Tillverkat i Sverige
12mm bred
15m lång<br>",ALAC,Hund,"Agility, Bruks","ALAC, Hund, Agility, Bruks",True,Title,Default Title,615.GUNGDOT.6146,7393603622438,100,shopify,0,deny,manual,257.31,True,True,https://d27ahaa1qqlr90.cloudfront.net/fit-in/800x800/filters:fill(white):background_color(white):etag(dbc615135ce66d2f4631539c9b2b58a4):format(jpeg)/imazo/_mcpict/A615.6146.jpg,1,active
615_GUNGDOT_6147,ALAC SPÅRLINA ANTIGLID LILA 12MMx15M,"Svensktillverkad antiglidspårlina<br>Tillverkat i Sverige
12mm bred
15m lång<br>",ALAC,Hund,"Agility, Bruks","ALAC, Hund, Agility, Bruks",True,Title,Default Title,615.GUNGDOT.6147,7393603622490,100,shopify,37,deny,manual,257.32,True,True,https://d27ahaa1qqlr90.cloudfront.net/fit-in/800x800/filters:fill(white):background_color(white):etag(dbc615135ce66d2f4631539c9b2b58a4):format(jpeg)/imazo/_mcpict/A615.6147.jpg,1,active
615_GUNGDOT_6170,ALAC SPÅRLINA ANTIGLID SVART 20MMx15M,"Svensktillverkad antiglidspårlina<br>Tillverkat i Sverige
20mm bred
15m lång<br>",ALAC,Hund,"Agility, Bruks","ALAC, Hund, Agility, Bruks",True,Title,Default Title,615.GUNGDOT.6170,7393603622216,100,shopify,59,deny,manual,295.4,True,True,https://d27ahaa1qqlr90.cloudfront.net/fit-in/800x800/filters:fill(white):background_color(white):etag(dbc615135ce66d2f4631539c9b2b58a4):format(jpeg)/imazo/_mcpict/A615.6170.jpg,1,active
615_GUNGDOT_6172,ALAC SPÅRLINA ANTIGLID ORANGE 20MMx15M,"Svensktillverkad antiglidspårlina<br>Tillverkat i Sverige
20mm bred
15m lång<br>",ALAC,Hund,"Agility, Bruks","ALAC, Hund, Agility, Bruks",True,Title,Default Title,615.GUNGDOT.6172,7393603622209,100,shopify,40,deny,manual,295.4,True,True,https://d27ahaa1qqlr90.cloudfront.net/fit-in/800x800/filters:fill(white):background_color(white):etag(dbc615135ce66d2f4631539c9b2b58a4):format(jpeg)/imazo/_mcpict/A615.6172.jpg,1,active
615_GUNGDOT_6174,ALAC SPÅRLINA ANTIGLID BLÅ 20MMx15M,"Svensktillverkad antiglidspårlina<br>Tillverkat i Sverige
20mm bred
15m lång<br>",ALAC,Hund,"Agility, Bruks","ALAC, Hund, Agility, Bruks",True,Title,Default Title,615.GUNGDOT.6174,7393603622254,100,shopify,31,deny,manual,295.4,True,True,https://d27ahaa1qqlr90.cloudfront.net/fit-in/800x800/filters:fill(white):background_color(white):etag(dbc615135ce66d2f4631539c9b2b58a4):format(jpeg)/imazo/_mcpict/A615.6174.jpg,1,active
615_GUNGDOT_6176,ALAC SPÅRLINA ANTIGLID RÖD 20MMx15M,"Svensktillverkad antiglidspårlina<br>Tillverkat i Sverige
20mm bred
15m lång<br>",ALAC,Hund,"Agility, Bruks","ALAC, Hund, Agility, Bruks",True,Title,Default Title,615.GUNGDOT.6176,7393603622223,100,shopify,25,deny,manual,295.4,True,True,https://d27ahaa1qqlr90.cloudfront.net/fit-in/800x800/filters:fill(white):background_color(white):etag(dbc615135ce66d2f4631539c9b2b58a4):format(jpeg)/imazo/_mcpict/A615.6176.jpg,1,active
615_GUNGDOT_6178,ALAC SPÅRLINA ANTIGLID LILA 20MMx15M,"Svensktillverkad antiglidspårlina<br>Tillverkat i Sverige
20mm bred
15m lång<br>",ALAC,Hund,"Agility, Bruks","ALAC, Hund, Agility, Bruks",True,Title,Default Title,615.GUNGDOT.6178,7393603622292,100,shopify,43,deny,manual,295.4,True,True,https://d27ahaa1qqlr90.cloudfront.net/fit-in/800x800/filters:fill(white):background_color(white):etag(dbc615135ce66d2f4631539c9b2b58a4):format(jpeg)/imazo/_mcpict/A615.6178.jpg,1,active
615_GUNGDOT_6180,ALAC SPÅRLINA KANALBAND OLIVGRÖN 18MMx10M,<br><br>,ALAC,Hund,"Agility, Bruks","ALAC, Hund, Agility, Bruks",True,Title,Default Title,615.GUNGDOT.6180,7393603625163,100,shopify,49,deny,manual,166.6,True,True,https://d27ahaa1qqlr90.cloudfront.net/fit-in/800x800/filters:fill(white):background_color(white):etag(dbc615135ce66d2f4631539c9b2b58a4):format(jpeg)/imazo/_mcpict/A615.6180.jpg,1,active
615_GUNGDOT_6182,ALAC SPÅRLINA KANALBAND OLIVGRÖN 18MMx15M,<br><br>,ALAC,Hund,"Agility, Bruks","ALAC, Hund, Agility, Bruks",True,Title,Default Title,615.GUNGDOT.6182,7393603625132,100,shopify,49,deny,manual,209.72,True,True,https://d27ahaa1qqlr90.cloudfront.net/fit-in/800x800/filters:fill(white):background_color(white):etag(dbc615135ce66d2f4631539c9b2b58a4):format(jpeg)/imazo/_mcpict/A615.6182.jpg,1,active
615_GUNGDOT_7001,ALAC KOPPEL UTSTÄLLNING RETRIEVER RING & STOPP GRÅ 10MMx190c,"Svensktillverkat utsällnings/retrieverkoppel med ring & stopp<br>Tillverkat i Sverige
10mm brett
190cm långt<br>",ALAC,Hund,Koppel,"ALAC, Hund, Koppel",True,Title,Default Title,615.GUNGDOT.7001,7393603145005,100,shopify,16,deny,manual,69.3,True,True,https://d27ahaa1qqlr90.cloudfront.net/fit-in/800x800/filters:fill(white):background_color(white):etag(dbc615135ce66d2f4631539c9b2b58a4):format(jpeg)/imazo/_mcpict/A615.7001.jpg,1,active
