Name,Availability,Artikel Nummer,Price €,Details,Description,Images
"Opaline Swirl Tapas 11,5 cm Creamy White",Item in Stock (60 pcs),310-101,"22
                }
            ]
        });
        
        
        
        
        
                    gtag('event'","Produktinformation_Volume_200 ml • 6.7 oz,Produktinformation_Diameter_11.5 cm• 4.5in,Produktinformation_Height_7 cm• 2.5in,Produktinformation_Weight_300 g• 0.7 lbs",N/A,
"Swirl Tapas 11,5 cm Citron",Item in Stock (60 pcs),310-12,"18.2
                }
            ]
        });
        
        
        
        
        
                    gtag('event'","Produktinformation_Volume_200 ml • 6.7 oz,Produktinformation_Diameter_11.5 cm• 4.5in,Produktinformation_Height_7 cm• 2.5in,Produktinformation_Weight_300 g• 0.7 lbs",N/A,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/3063_swirl-tapas-11-5-cm-citron.jpg?65688ce2
"Swirl Tapas 11,5 cm Light Blue",Item in Stock (24 pcs),310-14,"18.2
                }
            ]
        });
        
        
        
        
        
                    gtag('event'","Produktinformation_Volume_200 ml • 6.7 oz,Produktinformation_Diameter_11.5 cm• 4.5in,Produktinformation_Height_7 cm• 2.5in,Produktinformation_Weight_300 g• 0.7 lbs",N/A,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/3069_swirl-tapas-11-5-cm-light-blue.jpg?64d0bb73
"Swirl Tapas 11,5 cm New Brown",Item in Stock (54 pcs),310-30,"18.2
                }
            ]
        });
        
        
        
        
        
                    gtag('event'","Produktinformation_Volume_200 ml • 6.7 oz,Produktinformation_Diameter_11.5 cm• 4.5in,Produktinformation_Height_7 cm• 2.5in,Produktinformation_Weight_300 g• 0.7 lbs",N/A,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/3075_swirl-tapas-11-5-cm-new-brown.jpg?65688ce9
"Swirl Tapas 11,5 cm Olivegreen",Item in Stock (56 pcs),310-32,"18.2
                }
            ]
        });
        
        
        
        
        
                    gtag('event'","Produktinformation_Volume_200 ml • 6.7 oz,Produktinformation_Diameter_11.5 cm• 4.5in,Produktinformation_Height_7 cm• 2.5in,Produktinformation_Weight_300 g• 0.7 lbs",N/A,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/3078_swirl-tapas-11-5-cm-olivegreen.jpg?64d0bb81
"Swirl Tapas 11,5 cm Lilla",Item in Stock (72 pcs),310-40,"18.2
                }
            ]
        });
        
        
        
        
        
                    gtag('event'","Produktinformation_Volume_200 ml • 6.7 oz,Produktinformation_Diameter_11.5 cm• 4.5in,Produktinformation_Height_7 cm• 2.5in,Produktinformation_Weight_300 g• 0.7 lbs",N/A,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/3084_swirl-tapas-11-5-cm-lilla.jpg?64d0b9a5
"Swirl Tapas 11,5 cm Beryl",Item in Stock (60 pcs),310-5,"18.2
                }
            ]
        });
        
        
        
        
        
                    gtag('event'","Produktinformation_Volume_200 ml • 6.7 oz,Produktinformation_Diameter_11.5 cm• 4.5in,Produktinformation_Height_7 cm• 2.5in,Produktinformation_Weight_300 g• 0.7 lbs",N/A,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/3087_swirl-tapas-11-5-cm-beryl.jpg?65688cd7
"Swirl Tapas 11,5 cm Rosa",Item in Stock (44 pcs),310-50,"18.2
                }
            ]
        });
        
        
        
        
        
                    gtag('event'","Produktinformation_Volume_200 ml • 6.7 oz,Produktinformation_Diameter_11.5 cm• 4.5in,Produktinformation_Height_7 cm• 2.5in,Produktinformation_Weight_300 g• 0.7 lbs",N/A,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/3090_swirl-tapas-11-5-cm-rosa.jpg?65688cf0
"Swirl Tapas 11,5 cm Blue Smoke",Item in Stock (52 pcs),310-7,"18.2
                }
            ]
        });
        
        
        
        
        
                    gtag('event'","Produktinformation_Volume_200 ml • 6.7 oz,Produktinformation_Diameter_11.5 cm• 4.5in,Produktinformation_Height_7 cm• 2.5in,Produktinformation_Weight_300 g• 0.7 lbs",N/A,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/3093_swirl-tapas-11-5-cm-blue-smoke.jpg?65688cdd
"Swirl Tapas 11,5 cm Cashmere",Item in Stock (45 pcs),310-9,"18.2
                }
            ]
        });
        
        
        
        
        
                    gtag('event'","Produktinformation_Volume_200 ml • 6.7 oz,Produktinformation_Diameter_11.5 cm• 4.5in,Produktinformation_Height_7 cm• 2.5in,Produktinformation_Weight_300 g• 0.7 lbs",N/A,"https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/3096-7_swirl-tapas-11-5-cm-cashmere.jpg?65688d04,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/3096-7_swirl-tapas-11-5-cm-cashmere.jpg?65688d04,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/3096-7_swirl-tapas-11-5-cm-cashmere.jpg?65688d04,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/3096-3_swirl-tapas-11-5-cm-cashmere.jpg?655c843b,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/3096-3_swirl-tapas-11-5-cm-cashmere.jpg?655c843b,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/3096-4_swirl-tapas-11-5-cm-cashmere.jpg?655c843c,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/3096-4_swirl-tapas-11-5-cm-cashmere.jpg?655c843c,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/3096_swirl-tapas-11-5-cm-cashmere.jpg?655c8438,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/3096_swirl-tapas-11-5-cm-cashmere.jpg?655c8438,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/3096-1_swirl-tapas-11-5-cm-cashmere.jpg?655c8439,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/3096-1_swirl-tapas-11-5-cm-cashmere.jpg?655c8439,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/3096-2_swirl-tapas-11-5-cm-cashmere.jpg?655c843a,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/3096-2_swirl-tapas-11-5-cm-cashmere.jpg?655c843a,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/3096-5_swirl-tapas-11-5-cm-cashmere.jpg?655c843d,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/3096-5_swirl-tapas-11-5-cm-cashmere.jpg?655c843d,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/3096-6_swirl-tapas-11-5-cm-cashmere.jpg?655c843e,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/3096-6_swirl-tapas-11-5-cm-cashmere.jpg?655c843e"
Meadows Bowl Arctic,Preorder N/A,313-117,"25
                }
            ]
        });
        
        
        
        
        
                    gtag('event'","Produktinformation_Volume_200 ml• 6.7 oz,Produktinformation_Diameter_11,5 cm• 4.6in,Produktinformation_Height_7 cm• 2.8 in,Produktinformation_Weight_250 g• 0.6lbs",N/A,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/3672_meadows-bowl-arctic.jpg?64c114da
Meadows Bowl Midnight,Preorder N/A,313-118,"25
                }
            ]
        });
        
        
        
        
        
                    gtag('event'","Produktinformation_Volume_200 ml• 6.7 oz,Produktinformation_Diameter_11,5 cm• 4.6in,Produktinformation_Height_7 cm• 2.8 in,Produktinformation_Weight_250 g• 0.6lbs",N/A,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/3669_meadows-bowl-midnight.jpg?64c11578
Meadows Bowl Cherry Blossom,Preorder N/A,313-120,"25
                }
            ]
        });
        
        
        
        
        
                    gtag('event'","Produktinformation_Volume_200 ml• 6.7 oz,Produktinformation_Diameter_11,5 cm• 4.6in,Produktinformation_Height_7 cm• 2.8 in,Produktinformation_Weight_250 g• 0.6lbs",N/A,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/3549_meadows-bowl-cherry-blossom.jpg?64c11548
Meadows Bowl Spring,Item in Stock (3 pcs),313-121,"25
                }
            ]
        });
        
        
        
        
        
                    gtag('event'","Produktinformation_Volume_200 ml• 6.7 oz,Produktinformation_Diameter_11,5 cm• 4.6in,Produktinformation_Height_7 cm• 2.8 in,Produktinformation_Weight_250 g• 0.6lbs",N/A,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/3552_meadows-bowl-spring.jpg?64c115b4
Meadows Bowl Viva Magenta,Preorder N/A,313-122,"25
                }
            ]
        });
        
        
        
        
        
                    gtag('event'","Produktinformation_Volume_200 ml• 6.7 oz,Produktinformation_Diameter_11,5 cm• 4.6in,Produktinformation_Height_7 cm• 2.8 in,Produktinformation_Weight_250 g• 0.6lbs",N/A,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/3555_meadows-bowl-viva-magenta.jpg?64c115e1
Meadows Bowl East Coast,Item in Stock (1 pcs),313-123,"25
                }
            ]
        });
        
        
        
        
        
                    gtag('event'","Produktinformation_Volume_200 ml• 6.7 oz,Produktinformation_Diameter_11,5 cm• 4.6in,Produktinformation_Height_7 cm• 2.8 in,Produktinformation_Weight_250 g• 0.6lbs",N/A,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/3558_meadows-bowl-east-coast.jpg?64c11505
"Confetti Hobnail Tapas 11,5 cm Apricot",Item in Stock (232 pcs),302-131,"21.5
                }
            ]
        });
        
        
        
        
        
                    gtag('event'","Produktinformation_Volume_200 ml • 6.7 oz,Produktinformation_Diameter_11.5 cm• 4.6in,Produktinformation_Height_7 cm• 2.8in,Produktinformation_Weight_300 g• 0.7 lbs",N/A,"https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/3036-1_confetti-hobnail-tapas-11-5-cm-apricot.jpg?64c3572f,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/3036-1_confetti-hobnail-tapas-11-5-cm-apricot.jpg?64c3572f,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/3036-1_confetti-hobnail-tapas-11-5-cm-apricot.jpg?64c3572f,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/3036_mix-apricot.jpg?65437755,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/3036_mix-apricot.jpg?65437755,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/3036-2_confetti-hobnail-tapas-11-5-cm-apricot.jpg?6549fe3d,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/3036-2_confetti-hobnail-tapas-11-5-cm-apricot.jpg?6549fe3d"
"Confetti Hobnail Tapas 11,5 cm Marble",Item in Stock (19 pcs),302-95,"21.5
                }
            ]
        });
        
        
        
        
        
                    gtag('event'","Produktinformation_Volume_200 ml • 6.7 oz,Produktinformation_Diameter_11.5 cm• 4.6in,Produktinformation_Height_7 cm• 2.8in,Produktinformation_Weight_300 g• 0.7 lbs",N/A,"https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/3030_confetti-hobnail-tapas-11-5-cm-marble.jpg?64c35753,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/3030_confetti-hobnail-tapas-11-5-cm-marble.jpg?64c35753,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/3030_confetti-hobnail-tapas-11-5-cm-marble.jpg?64c35753,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/3030-1_confetti-hobnail-tapas-11-5-cm-marble.jpg?6549feb4,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/3030-1_confetti-hobnail-tapas-11-5-cm-marble.jpg?6549feb4"
Tapas Freja,Item in Stock (304 pcs),360-90,"21
                }
            ]
        });
        
        
        
        
        
                    gtag('event'","Produktinformation_Volume_200 ml• 6.7 oz,Produktinformation_Diameter_11 cm• 4.4in,Produktinformation_Height_7 cm• 2.8 in,Produktinformation_Weight_250 g• 0.6 lbs",N/A,"https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/2464-9_0k54-360-90.jpg?6483141b,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/2464-9_0k54-360-90.jpg?6483141b,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/2464-9_0k54-360-90.jpg?6483141b,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/2464_nwfj-dsc-0535-min.jpg?6483141b,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/2464_nwfj-dsc-0535-min.jpg?6483141b,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/2464-1_259o-dsc-0537.jpg?6483141b,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/2464-1_259o-dsc-0537.jpg?6483141b,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/2464-2_sfzr-dsc-0530.jpg?6483141b,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/2464-2_sfzr-dsc-0530.jpg?6483141b,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/2464-3_av08-dsc-0571.jpg?6483141b,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/2464-3_av08-dsc-0571.jpg?6483141b,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/2464-8_360-freja--5.jpg?64c36511,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/2464-8_360-freja--5.jpg?64c36511,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/2464-10_360-freja.jpg?64c3647d,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/2464-10_360-freja.jpg?64c3647d,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/2464-5_360-freja--2.jpg?64c364ab,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/2464-5_360-freja--2.jpg?64c364ab,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/2464-6_360-freja--3.jpg?64c364c9,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/2464-6_360-freja--3.jpg?64c364c9,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/2464-7_360-freja--4.jpg?64c364e8,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/2464-7_360-freja--4.jpg?64c364e8"
Tapas Multi-full,Item in Stock (88 pcs),385-135,"23.1
                }
            ]
        });
        
        
        
        
        
                    gtag('event'","Produktinformation_Volume_200 ml• 6.7 oz,Produktinformation_Diameter_11 cm• 4.4in,Produktinformation_Height_7 cm• 2.8 in,Produktinformation_Weight_250 g• 0.6 lbs",N/A,"https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/2458-1_tapas-multi-full.jpg?64c3658f,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/2458-1_tapas-multi-full.jpg?64c3658f,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/2458-1_tapas-multi-full.jpg?64c3658f,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/2458_311003072-480205904123071-4990393356862130684-n.jpg?6555d472,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/2458_311003072-480205904123071-4990393356862130684-n.jpg?6555d472"
Tapas Marble,Item in Stock (20 pcs),394-95,"21
                }
            ]
        });
        
        
        
        
        
                    gtag('event'","Produktinformation_Volume_200 ml• 6.7 oz,Produktinformation_Diameter_11 cm• 4.4in,Produktinformation_Height_7 cm• 2.8 in,Produktinformation_Weight_250 g• 0.6 lbs",N/A,"https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/3192-1_tapas-marble.jpg?64c3656c,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/3192-1_tapas-marble.jpg?64c3656c,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/3192-1_tapas-marble.jpg?64c3656c,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/3192_tapas-marble.jpg?6542144d,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/3192_tapas-marble.jpg?6542144d"
Tapas Pacific,Item in Stock (104 pcs),396-132,"21
                }
            ]
        });
        
        
        
        
        
                    gtag('event'","Produktinformation_Volume_200 ml• 6.7 oz,Produktinformation_Diameter_11 cm• 4.4in,Produktinformation_Height_7 cm• 2.8 in,Produktinformation_Weight_250 g• 0.6 lbs",N/A,"https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/3222_tapas-pacific.jpg?64c365fd,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/3222_tapas-pacific.jpg?64c365fd,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/3222_tapas-pacific.jpg?64c365fd,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/3222-1_tapas-pacific.jpg?6542148e,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/3222-1_tapas-pacific.jpg?6542148e"
Tapas Flamingo,Item in Stock (104 pcs),398-74,"21
                }
            ]
        });
        
        
        
        
        
                    gtag('event'","Produktinformation_Volume_200 ml• 6.7 oz,Produktinformation_Diameter_11 cm• 4.4in,Produktinformation_Height_7 cm• 2.8 in,Produktinformation_Weight_250 g• 0.6 lbs",N/A,"https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/2446-1_tapas-flamingo.jpg?64c36425,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/2446-1_tapas-flamingo.jpg?64c36425,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/2446-1_tapas-flamingo.jpg?64c36425,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/2446_tapas-flamingo.jpg?654214f9,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/2446_tapas-flamingo.jpg?654214f9,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/2446-2_tapas-flamingo.jpg?654b6782,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/2446-2_tapas-flamingo.jpg?654b6782,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/2446-3_tapas-flamingo.jpg?654b67a4,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/2446-3_tapas-flamingo.jpg?654b67a4"
Tapas Apricot,Item in Stock (188 pcs),399-131,"21
                }
            ]
        });
        
        
        
        
        
                    gtag('event'","Produktinformation_Volume_200 ml• 6.7 oz,Produktinformation_Diameter_11 cm• 4.4in,Produktinformation_Height_7 cm• 2.8 in,Produktinformation_Weight_250 g• 0.6 lbs",N/A,"https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/2443-3_tapas-apricot.jpg?64c363f6,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/2443-3_tapas-apricot.jpg?64c363f6,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/2443-3_tapas-apricot.jpg?64c363f6,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/2443_sraq-img-72381.jpg?6483141b,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/2443_sraq-img-72381.jpg?6483141b,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/2443-1_n8lg-img-72391.jpg?6483141b,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/2443-1_n8lg-img-72391.jpg?6483141b,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/2443-2_tapas-apricot.jpg?65421540,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/2443-2_tapas-apricot.jpg?65421540,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/2443-4_tapas-apricot.jpg?65421549,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/2443-4_tapas-apricot.jpg?65421549,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/2443-5_mix-apricot.jpg?65437780,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/2443-5_mix-apricot.jpg?65437780"
"Opaline Hobnail Tapas 11,5 cm Creamy White",Item in Stock (60 pcs),300-101,"22
                }
            ]
        });
        
        
        
        
        
                    gtag('event'","Produktinformation_Volume_200 ml • 6.7 oz,Produktinformation_Diameter_11.5 cm• 4.6in,Produktinformation_Height_7 cm• 2.8in,Produktinformation_Weight_300 g• 0.7 lbs",N/A,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/5532_opaline-hobnail-tapas-11-5-cm-creamy-white.jpg?66cc6dd7
"Opaline Hobnail Tapas 11,5 cm Pastel Blue",Item in Stock (28 pcs),300-141,"22
                }
            ]
        });
        
        
        
        
        
                    gtag('event'","Produktinformation_Volume_200 ml • 6.7 oz,Produktinformation_Diameter_11.5 cm• 4.6in,Produktinformation_Height_7 cm• 2.8in,Produktinformation_Weight_300 g• 0.7 lbs",N/A,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/5535_opaline-hobnail-tapas-11-5-cm-pastel-blue.jpg?66cc6e49
"Opaline Swirl Tapas 11,5 cm Creamy White",Item in Stock (60 pcs),310-101,"22
                }
            ]
        });
        
        
        
        
        
                    gtag('event'","Produktinformation_Volume_200 ml • 6.7 oz,Produktinformation_Diameter_11.5 cm• 4.5in,Produktinformation_Height_7 cm• 2.5in,Produktinformation_Weight_300 g• 0.7 lbs",N/A,
Opaline Hobnail Tapas 17 cm Creamy White,Item in Stock (13 pcs),320-101,"35
                }
            ]
        });
        
        
        
        
        
                    gtag('event'","Produktinformation_Volume_800 ml • 27 oz,Produktinformation_Diameter_17 cm • 6.7 in,Produktinformation_Height_7 cm • 2.8 in,Produktinformation_Weight_1 kg • 2.2 lbs",N/A,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/5541_opaline-hobnail-tapas-17-cm-creamy-white.jpg?66cc6e71
Opaline Hobnail Tapas 17 cm Pastel Blue,Item in Stock (13 pcs),320-141,"35
                }
            ]
        });
        
        
        
        
        
                    gtag('event'","Produktinformation_Volume_800 ml • 27 oz,Produktinformation_Diameter_17 cm • 6.7 in,Produktinformation_Height_7 cm • 2.8 in,Produktinformation_Weight_1 kg • 2.2 lbs",N/A,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/5544_opaline-hobnail-tapas-17-cm-pastel-blue.jpg?66cc6ece
Opaline Hobnail Tapas 23 cm Creamy White,Item in Stock (13 pcs),330-101,"44
                }
            ]
        });
        
        
        
        
        
                    gtag('event'","Produktinformation_Volume_2600 ml • 87.9 oz,Produktinformation_Diameter_23 cm • 9.1 in,Produktinformation_Height_10 cm • 4.0 in,Produktinformation_Weight_1,5 kg • 3.3 lbs","<span>This elegant jug ordained with the traditional hobnail pattern native to Bohemia, Czech Republic is a delightful and useful piece for any occasion. It is mouth-blown and 100% handmade with care and expertise. An eternal classic that now comes in an array of colours, that will fit any mood or season.</span>",
Opaline Hobnail Tapas 23 cm Pastel Blue,Item in Stock (12 pcs),330-141,"44
                }
            ]
        });
        
        
        
        
        
                    gtag('event'","Produktinformation_Volume_2600 ml • 87.9 oz,Produktinformation_Diameter_23 cm • 9.1 in,Produktinformation_Height_10 cm • 4.0 in,Produktinformation_Weight_1,5 kg • 3.3 lbs","<span>This elegant jug ordained with the traditional hobnail pattern native to Bohemia, Czech Republic is a delightful and useful piece for any occasion. It is mouth-blown and 100% handmade with care and expertise. An eternal classic that now comes in an array of colours, that will fit any mood or season.</span>",
Opaline Hobnail Large Bowl 24 cm Pastel Blue,Item in Stock (3 pcs),340-141,"49
                }
            ]
        });
        
        
        
        
        
                    gtag('event'",,"<span>This elegant jug ordained with the traditional hobnail pattern native to Bohemia, Czech Republic is a delightful and useful piece for any occasion. It is mouth-blown and 100% handmade with care and expertise. An eternal classic that now comes in an array of colours, that will fit any mood or season.</span>",
Hobnail Glass Amber,Item in Stock (15 pcs),500-1,"10.9
                }
            ]
        });
        
        
        
        
        
                    gtag('event'","Produktinformation_Volume_250 ml• 8.4 oz,Produktinformation_Diameter_6,7 cm• 2.7in,Produktinformation_Height_11 cm• 4.4 in,Produktinformation_Weight_260 g• 0.6 lbs",N/A,"https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/1654-1_hobnail-glass-amber.jpg?64cb46d9,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/1654-1_hobnail-glass-amber.jpg?64cb46d9,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/1654-1_hobnail-glass-amber.jpg?64cb46d9,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/1654_mix-amber.jpg?65437ab9,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/1654_mix-amber.jpg?65437ab9,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/1654-2_hobnail-glass-amber.jpg?654b5fb3,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/1654-2_hobnail-glass-amber.jpg?654b5fb3,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/1654-3_hobnail-glass-amber.jpg?65d62b97,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/1654-3_hobnail-glass-amber.jpg?65d62b97,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/1654-4_hobnail-glass-amber.jpg?65d62b97,https://cdn.myshoptet.com/usr/www.annavonlipa.com/user/shop/big/1654-4_hobnail-glass-amber.jpg?65d62b97"
